timestamp,key,input_type
2021-05-24 15:04:56.322319,1,BUTTON
2021-05-24 15:04:56.730900,+,BUTTON
2021-05-24 15:04:57.069129,1,BUTTON
2021-05-24 15:04:57.276675,2,BUTTON
2021-05-24 15:04:57.575732,+,BUTTON
2021-05-24 15:04:58.243556,1,BUTTON
2021-05-24 15:04:58.580894,3,BUTTON
2021-05-24 15:04:58.861800,+,BUTTON
2021-05-24 15:04:59.229131,1,BUTTON
2021-05-24 15:04:59.482831,4,BUTTON
2021-05-24 15:04:59.804006,+,BUTTON
2021-05-24 15:05:00.204210,1,BUTTON
2021-05-24 15:05:00.497251,5,BUTTON
2021-05-24 15:05:00.773365,+,BUTTON
2021-05-24 15:05:01.110602,1,BUTTON
2021-05-24 15:05:01.431646,6,BUTTON
2021-05-24 15:05:01.742619,+,BUTTON
2021-05-24 15:05:02.047137,1,BUTTON
2021-05-24 15:05:02.385130,7,BUTTON
2021-05-24 15:05:02.761655,+,BUTTON
2021-05-24 15:05:03.120623,1,BUTTON
2021-05-24 15:05:03.413044,8,BUTTON
2021-05-24 15:05:03.756771,+,BUTTON
2021-05-24 15:05:04.049080,1,BUTTON
2021-05-24 15:05:04.355184,9,BUTTON
2021-05-24 15:05:04.727205,+,BUTTON
2021-05-24 15:05:05.061467,2,BUTTON
2021-05-24 15:05:05.316707,0,BUTTON
2021-05-24 15:05:06.204971,Evaluate,BUTTON
2021-05-24 15:05:06.532422,EXPERIMENT_END,BUTTON
2021-05-24 15:05:07.576750,EXPERIMENT_START,BUTTON
2021-05-24 15:05:07.579222,1,BUTTON
2021-05-24 15:05:07.913410,+,BUTTON
2021-05-24 15:05:08.202840,2,BUTTON
2021-05-24 15:05:08.451775,+,BUTTON
2021-05-24 15:05:08.671862,3,BUTTON
2021-05-24 15:05:08.899867,+,BUTTON
2021-05-24 15:05:09.206552,4,BUTTON
2021-05-24 15:05:09.644223,+,BUTTON
2021-05-24 15:05:09.944527,5,BUTTON
2021-05-24 15:05:10.286917,+,BUTTON
2021-05-24 15:05:10.600020,6,BUTTON
2021-05-24 15:05:10.892846,+,BUTTON
2021-05-24 15:05:11.249762,7,BUTTON
2021-05-24 15:05:11.654680,+,BUTTON
2021-05-24 15:05:11.982009,8,BUTTON
2021-05-24 15:05:12.368693,+,BUTTON
2021-05-24 15:05:12.691913,9,BUTTON
2021-05-24 15:05:12.978520,+,BUTTON
2021-05-24 15:05:13.334525,1,BUTTON
2021-05-24 15:05:13.571393,0,BUTTON
2021-05-24 15:05:13.865647,+,BUTTON
2021-05-24 15:05:14.251099,1,BUTTON
2021-05-24 15:05:14.429844,1,BUTTON
2021-05-24 15:05:14.750038,+,BUTTON
2021-05-24 15:05:15.141312,1,BUTTON
2021-05-24 15:05:15.375488,2,BUTTON
2021-05-24 15:05:15.683866,+,BUTTON
2021-05-24 15:05:16.031505,1,BUTTON
2021-05-24 15:05:16.359140,3,BUTTON
2021-05-24 15:05:16.639515,+,BUTTON
2021-05-24 15:05:16.949708,1,BUTTON
2021-05-24 15:05:17.185023,4,BUTTON
2021-05-24 15:05:17.476188,+,BUTTON
2021-05-24 15:05:17.806178,1,BUTTON
2021-05-24 15:05:18.064382,5,BUTTON
2021-05-24 15:05:18.358017,+,BUTTON
2021-05-24 15:05:18.680207,1,BUTTON
2021-05-24 15:05:18.969762,6,BUTTON
2021-05-24 15:05:19.295992,+,BUTTON
2021-05-24 15:05:19.622820,1,BUTTON
2021-05-24 15:05:19.927034,7,BUTTON
2021-05-24 15:05:20.243380,+,BUTTON
2021-05-24 15:05:20.592288,1,BUTTON
2021-05-24 15:05:20.880367,8,BUTTON
2021-05-24 15:05:21.201394,+,BUTTON
2021-05-24 15:05:21.506425,1,BUTTON
2021-05-24 15:05:21.813467,9,BUTTON
2021-05-24 15:05:22.173126,+,BUTTON
2021-05-24 15:05:22.477497,2,BUTTON
2021-05-24 15:05:22.765224,0,BUTTON
2021-05-24 15:05:23.069403,Evaluate,BUTTON
2021-05-24 15:05:23.423480,EXPERIMENT_END,BUTTON
2021-05-24 15:05:24.292850,EXPERIMENT_START,BUTTON
2021-05-24 15:05:24.295130,1,BUTTON
2021-05-24 15:05:24.621242,+,BUTTON
2021-05-24 15:05:24.907298,2,BUTTON
2021-05-24 15:05:25.232604,+,BUTTON
2021-05-24 15:05:25.504182,3,BUTTON
2021-05-24 15:05:25.741329,+,BUTTON
2021-05-24 15:05:26.046560,4,BUTTON
2021-05-24 15:05:26.406470,+,BUTTON
2021-05-24 15:05:26.768405,5,BUTTON
2021-05-24 15:05:27.111856,+,BUTTON
2021-05-24 15:05:27.380283,6,BUTTON
2021-05-24 15:05:27.652735,+,BUTTON
2021-05-24 15:05:28.013636,7,BUTTON
2021-05-24 15:05:28.306884,+,BUTTON
2021-05-24 15:05:28.651014,8,BUTTON
2021-05-24 15:05:28.957918,+,BUTTON
2021-05-24 15:05:29.247195,9,BUTTON
2021-05-24 15:05:29.549203,+,BUTTON
2021-05-24 15:05:29.878697,1,BUTTON
2021-05-24 15:05:30.115054,0,BUTTON
2021-05-24 15:05:30.456792,+,BUTTON
2021-05-24 15:05:30.758373,1,BUTTON
2021-05-24 15:05:30.923781,1,BUTTON
2021-05-24 15:05:31.204739,+,BUTTON
2021-05-24 15:05:31.573289,1,BUTTON
2021-05-24 15:05:31.777348,2,BUTTON
2021-05-24 15:05:32.078763,+,BUTTON
2021-05-24 15:05:32.432218,1,BUTTON
2021-05-24 15:05:32.774446,3,BUTTON
2021-05-24 15:05:33.072542,+,BUTTON
2021-05-24 15:05:33.375086,1,BUTTON
2021-05-24 15:05:33.612699,4,BUTTON
2021-05-24 15:05:33.886916,+,BUTTON
2021-05-24 15:05:34.202324,1,BUTTON
2021-05-24 15:05:34.437285,5,BUTTON
2021-05-24 15:05:34.764430,+,BUTTON
2021-05-24 15:05:35.081278,1,BUTTON
2021-05-24 15:05:35.368023,6,BUTTON
2021-05-24 15:05:35.658335,+,BUTTON
2021-05-24 15:05:36.072291,1,BUTTON
2021-05-24 15:05:36.355242,7,BUTTON
2021-05-24 15:05:36.698134,+,BUTTON
2021-05-24 15:05:36.993269,1,BUTTON
2021-05-24 15:05:37.261986,8,BUTTON
2021-05-24 15:05:37.599005,+,BUTTON
2021-05-24 15:05:37.897228,1,BUTTON
2021-05-24 15:05:38.214139,9,BUTTON
2021-05-24 15:05:38.519005,+,BUTTON
2021-05-24 15:05:38.792754,2,BUTTON
2021-05-24 15:05:39.071683,0,BUTTON
2021-05-24 15:05:39.902755,Evaluate,BUTTON
2021-05-24 15:05:40.627293,EXPERIMENT_END,BUTTON
