timestamp,key,input_type
2021-05-25 19:00:52.912308,EXPERIMENT_START,KEYBOARD
2021-05-25 19:00:52.912308,1,KEYBOARD
2021-05-25 19:00:53.214596,+,KEYBOARD
2021-05-25 19:00:53.492023,2,KEYBOARD
2021-05-25 19:00:53.781728,+,KEYBOARD
2021-05-25 19:00:54.088537,3,KEYBOARD
2021-05-25 19:00:54.385511,+,KEYBOARD
2021-05-25 19:00:54.702551,4,KEYBOARD
2021-05-25 19:00:54.974112,+,KEYBOARD
2021-05-25 19:00:55.286935,5,KEYBOARD
2021-05-25 19:00:55.581168,+,KEYBOARD
2021-05-25 19:00:55.865996,6,KEYBOARD
2021-05-25 19:00:56.187474,+,KEYBOARD
2021-05-25 19:00:56.454964,7,KEYBOARD
2021-05-25 19:00:56.743300,+,KEYBOARD
2021-05-25 19:00:57.016682,8,KEYBOARD
2021-05-25 19:00:57.348182,+,KEYBOARD
2021-05-25 19:00:57.638137,9,KEYBOARD
2021-05-25 19:00:57.909679,+,KEYBOARD
2021-05-25 19:00:58.341899,1,KEYBOARD
2021-05-25 19:00:58.838481,0,KEYBOARD
2021-05-25 19:00:59.130770,+,KEYBOARD
2021-05-25 19:00:59.522729,1,KEYBOARD
2021-05-25 19:00:59.793762,1,KEYBOARD
2021-05-25 19:01:00.070692,+,KEYBOARD
2021-05-25 19:01:00.479608,1,KEYBOARD
2021-05-25 19:01:00.736280,2,KEYBOARD
2021-05-25 19:01:01.024433,+,KEYBOARD
2021-05-25 19:01:01.356330,1,KEYBOARD
2021-05-25 19:01:01.610352,3,KEYBOARD
2021-05-25 19:01:01.865142,+,KEYBOARD
2021-05-25 19:01:02.120001,1,KEYBOARD
2021-05-25 19:01:02.369082,4,KEYBOARD
2021-05-25 19:01:02.621327,+,KEYBOARD
2021-05-25 19:01:02.818511,1,KEYBOARD
2021-05-25 19:01:03.108091,5,KEYBOARD
2021-05-25 19:01:03.332055,+,KEYBOARD
2021-05-25 19:01:03.730349,1,KEYBOARD
2021-05-25 19:01:04.108187,6,KEYBOARD
2021-05-25 19:01:04.408506,+,KEYBOARD
2021-05-25 19:01:04.677853,1,KEYBOARD
2021-05-25 19:01:05.100662,7,KEYBOARD
2021-05-25 19:01:05.379382,+,KEYBOARD
2021-05-25 19:01:05.711876,1,KEYBOARD
2021-05-25 19:01:06.169756,8,KEYBOARD
2021-05-25 19:01:06.486058,+,KEYBOARD
2021-05-25 19:01:06.852472,1,KEYBOARD
2021-05-25 19:01:07.391603,9,KEYBOARD
2021-05-25 19:01:07.696700,+,KEYBOARD
2021-05-25 19:01:08.103469,2,KEYBOARD
2021-05-25 19:01:08.678028,0,KEYBOARD
2021-05-25 19:01:09.411284,Evaluate,KEYBOARD
2021-05-25 19:01:09.411284,EXPERIMENT_END,BUTTON
2021-05-25 19:01:12.682734,EXPERIMENT_START,KEYBOARD
2021-05-25 19:01:12.682734,1,KEYBOARD
2021-05-25 19:01:12.996736,+,KEYBOARD
2021-05-25 19:01:13.345219,2,KEYBOARD
2021-05-25 19:01:13.662046,+,KEYBOARD
2021-05-25 19:01:13.972341,3,KEYBOARD
2021-05-25 19:01:14.265136,+,KEYBOARD
2021-05-25 19:01:14.590228,4,KEYBOARD
2021-05-25 19:01:14.871478,+,KEYBOARD
2021-05-25 19:01:15.181107,5,KEYBOARD
2021-05-25 19:01:15.476868,+,KEYBOARD
2021-05-25 19:01:15.775579,6,KEYBOARD
2021-05-25 19:01:16.068224,+,KEYBOARD
2021-05-25 19:01:16.328158,7,KEYBOARD
2021-05-25 19:01:16.595660,+,KEYBOARD
2021-05-25 19:01:16.861068,8,KEYBOARD
2021-05-25 19:01:17.147654,+,KEYBOARD
2021-05-25 19:01:17.375374,9,KEYBOARD
2021-05-25 19:01:17.672443,+,KEYBOARD
2021-05-25 19:01:18.490218,1,KEYBOARD
2021-05-25 19:01:18.988664,0,KEYBOARD
2021-05-25 19:01:19.331977,+,KEYBOARD
2021-05-25 19:01:19.738189,1,KEYBOARD
2021-05-25 19:01:19.983723,1,KEYBOARD
2021-05-25 19:01:20.252425,+,KEYBOARD
2021-05-25 19:01:20.566772,1,KEYBOARD
2021-05-25 19:01:20.829620,2,KEYBOARD
2021-05-25 19:01:21.090991,+,KEYBOARD
2021-05-25 19:01:21.356609,1,KEYBOARD
2021-05-25 19:01:21.619796,3,KEYBOARD
2021-05-25 19:01:21.878500,+,KEYBOARD
2021-05-25 19:01:22.106949,1,KEYBOARD
2021-05-25 19:01:22.364584,4,KEYBOARD
2021-05-25 19:01:22.625376,+,KEYBOARD
2021-05-25 19:01:22.827107,1,KEYBOARD
2021-05-25 19:01:23.107883,5,KEYBOARD
2021-05-25 19:01:23.365093,+,KEYBOARD
