timestamp,key,input_type
2021-05-25 18:55:23.390415,EXPERIMENT_START,BUTTON
2021-05-25 18:55:23.390415,1,BUTTON
2021-05-25 18:55:24.099403,+,BUTTON
2021-05-25 18:55:24.627213,2,BUTTON
2021-05-25 18:55:25.204279,+,BUTTON
2021-05-25 18:55:25.666618,3,BUTTON
2021-05-25 18:55:26.111722,+,BUTTON
2021-05-25 18:55:26.775494,4,BUTTON
2021-05-25 18:55:27.431519,+,BUTTON
2021-05-25 18:55:28.033691,5,BUTTON
2021-05-25 18:55:28.579334,+,BUTTON
2021-05-25 18:55:29.116962,6,BUTTON
2021-05-25 18:55:29.664894,+,BUTTON
2021-05-25 18:55:30.242670,7,BUTTON
2021-05-25 18:55:30.954825,+,BUTTON
2021-05-25 18:55:31.514585,8,BUTTON
2021-05-25 18:55:32.097919,+,BUTTON
2021-05-25 18:55:32.751732,9,BUTTON
2021-05-25 18:55:33.343693,+,BUTTON
2021-05-25 18:55:33.986791,1,BUTTON
2021-05-25 18:55:34.434794,0,BUTTON
2021-05-25 18:55:34.971156,+,BUTTON
2021-05-25 18:55:35.647997,1,BUTTON
2021-05-25 18:55:35.863253,1,BUTTON
2021-05-25 18:55:36.499602,+,BUTTON
2021-05-25 18:55:37.058993,1,BUTTON
2021-05-25 18:55:37.465743,2,BUTTON
2021-05-25 18:55:37.946854,+,BUTTON
2021-05-25 18:55:38.587531,1,BUTTON
2021-05-25 18:55:39.011452,3,BUTTON
2021-05-25 18:55:39.410690,+,BUTTON
2021-05-25 18:55:39.992249,1,BUTTON
2021-05-25 18:55:40.354682,4,BUTTON
2021-05-25 18:55:41.114537,+,BUTTON
2021-05-25 18:55:41.786483,1,BUTTON
2021-05-25 18:55:42.259029,5,BUTTON
2021-05-25 18:55:42.793689,+,BUTTON
2021-05-25 18:55:43.314795,1,BUTTON
2021-05-25 18:55:43.776176,6,BUTTON
2021-05-25 18:55:44.362382,+,BUTTON
2021-05-25 18:55:44.866361,1,BUTTON
2021-05-25 18:55:45.418995,7,BUTTON
2021-05-25 18:55:45.971538,+,BUTTON
2021-05-25 18:55:46.546781,1,BUTTON
2021-05-25 18:55:47.178919,8,BUTTON
2021-05-25 18:55:47.762300,+,BUTTON
2021-05-25 18:55:48.267168,1,BUTTON
2021-05-25 18:55:48.882820,9,BUTTON
2021-05-25 18:55:49.475721,+,BUTTON
2021-05-25 18:55:49.986686,2,BUTTON
2021-05-25 18:55:50.584328,0,BUTTON
2021-05-25 18:55:51.516804,Evaluate,BUTTON
2021-05-25 18:55:51.516804,EXPERIMENT_END,BUTTON
2021-05-25 18:55:55.610072,EXPERIMENT_START,BUTTON
2021-05-25 18:55:55.610072,1,BUTTON
2021-05-25 18:55:56.130540,+,BUTTON
2021-05-25 18:55:56.882970,2,BUTTON
2021-05-25 18:55:57.517204,+,BUTTON
2021-05-25 18:55:57.986144,3,BUTTON
2021-05-25 18:55:58.461477,+,BUTTON
2021-05-25 18:55:59.002592,4,BUTTON
2021-05-25 18:55:59.594472,+,BUTTON
2021-05-25 18:56:00.081369,5,BUTTON
2021-05-25 18:56:00.535221,+,BUTTON
2021-05-25 18:56:01.052505,6,BUTTON
2021-05-25 18:56:01.514125,+,BUTTON
2021-05-25 18:56:01.990442,7,BUTTON
2021-05-25 18:56:02.535582,+,BUTTON
2021-05-25 18:56:03.002450,8,BUTTON
2021-05-25 18:56:03.546166,+,BUTTON
2021-05-25 18:56:04.050589,9,BUTTON
2021-05-25 18:56:04.509410,+,BUTTON
2021-05-25 18:56:05.017164,1,BUTTON
2021-05-25 18:56:05.413714,0,BUTTON
2021-05-25 18:56:05.874616,+,BUTTON
2021-05-25 18:56:06.515751,1,BUTTON
2021-05-25 18:56:06.695777,1,BUTTON
2021-05-25 18:56:07.350201,+,BUTTON
2021-05-25 18:56:07.786263,1,BUTTON
2021-05-25 18:56:08.182532,2,BUTTON
2021-05-25 18:56:08.650869,+,BUTTON
2021-05-25 18:56:09.170096,1,BUTTON
2021-05-25 18:56:09.636162,3,BUTTON
2021-05-25 18:56:10.080253,+,BUTTON
2021-05-25 18:56:10.550523,1,BUTTON
2021-05-25 18:56:10.900428,4,BUTTON
2021-05-25 18:56:11.419407,+,BUTTON
2021-05-25 18:56:12.391835,1,BUTTON
2021-05-25 18:56:12.804994,5,BUTTON
2021-05-25 18:56:13.398269,+,BUTTON
2021-05-25 18:56:13.982678,1,BUTTON
2021-05-25 18:56:14.520061,6,BUTTON
2021-05-25 18:56:15.030674,+,BUTTON
2021-05-25 18:56:15.807324,1,BUTTON
2021-05-25 18:56:16.243897,7,BUTTON
2021-05-25 18:56:16.966316,+,BUTTON
2021-05-25 18:56:17.502770,1,BUTTON
2021-05-25 18:56:17.983097,8,BUTTON
2021-05-25 18:56:18.559252,+,BUTTON
2021-05-25 18:56:19.030942,1,BUTTON
2021-05-25 18:56:19.559497,9,BUTTON
2021-05-25 18:56:20.143434,+,BUTTON
2021-05-25 18:56:20.758162,2,BUTTON
2021-05-25 18:56:21.237956,0,BUTTON
2021-05-25 18:56:21.803610,Evaluate,BUTTON
2021-05-25 18:56:21.803610,EXPERIMENT_END,BUTTON
2021-05-25 18:56:24.334398,EXPERIMENT_START,BUTTON
2021-05-25 18:56:24.334398,1,BUTTON
2021-05-25 18:56:24.902201,+,BUTTON
2021-05-25 18:56:25.323909,2,BUTTON
2021-05-25 18:56:25.822395,+,BUTTON
2021-05-25 18:56:26.302871,3,BUTTON
2021-05-25 18:56:26.734069,+,BUTTON
2021-05-25 18:56:27.191256,4,BUTTON
2021-05-25 18:56:27.774825,+,BUTTON
2021-05-25 18:56:28.253782,5,BUTTON
2021-05-25 18:56:28.749294,+,BUTTON
2021-05-25 18:56:29.294677,6,BUTTON
2021-05-25 18:56:29.781856,+,BUTTON
2021-05-25 18:56:30.327573,7,BUTTON
2021-05-25 18:56:30.829904,+,BUTTON
2021-05-25 18:56:31.478796,8,BUTTON
2021-05-25 18:56:31.966540,+,BUTTON
2021-05-25 18:56:32.575370,9,BUTTON
2021-05-25 18:56:33.142786,+,BUTTON
2021-05-25 18:56:33.694110,1,BUTTON
2021-05-25 18:56:34.118124,0,BUTTON
2021-05-25 18:56:34.638147,+,BUTTON
2021-05-25 18:56:35.230117,1,BUTTON
2021-05-25 18:56:35.807457,1,BUTTON
2021-05-25 18:56:36.358729,+,BUTTON
2021-05-25 18:56:36.982784,1,BUTTON
2021-05-25 18:56:37.342888,2,BUTTON
2021-05-25 18:56:37.805756,+,BUTTON
2021-05-25 18:56:38.268290,1,BUTTON
2021-05-25 18:56:38.838749,3,BUTTON
2021-05-25 18:56:39.334336,+,BUTTON
2021-05-25 18:56:39.902615,1,BUTTON
2021-05-25 18:56:40.327138,4,BUTTON
2021-05-25 18:56:40.902563,+,BUTTON
2021-05-25 18:56:41.447300,1,BUTTON
2021-05-25 18:56:41.911373,5,BUTTON
2021-05-25 18:56:42.446540,+,BUTTON
2021-05-25 18:56:42.950346,1,BUTTON
2021-05-25 18:56:43.436200,6,BUTTON
2021-05-25 18:56:44.022720,+,BUTTON
2021-05-25 18:56:44.550132,1,BUTTON
2021-05-25 18:56:44.990984,7,BUTTON
2021-05-25 18:56:45.550718,+,BUTTON
2021-05-25 18:56:46.023772,1,BUTTON
2021-05-25 18:56:46.495631,8,BUTTON
2021-05-25 18:56:47.135950,+,BUTTON
2021-05-25 18:56:47.630881,1,BUTTON
2021-05-25 18:56:48.101790,9,BUTTON
2021-05-25 18:56:48.718629,+,BUTTON
2021-05-25 18:56:49.207684,2,BUTTON
2021-05-25 18:56:49.631076,0,BUTTON
2021-05-25 18:56:50.131921,Evaluate,BUTTON
2021-05-25 18:56:50.131921,EXPERIMENT_END,BUTTON
2021-05-25 18:56:53.816414,EXPERIMENT_START,BUTTON
2021-05-25 18:56:53.816414,1,BUTTON
2021-05-25 18:56:54.269323,+,BUTTON
2021-05-25 18:56:54.740630,2,BUTTON
2021-05-25 18:56:55.334385,+,BUTTON
2021-05-25 18:56:55.749819,3,BUTTON
2021-05-25 18:56:56.198352,+,BUTTON
2021-05-25 18:56:56.806415,4,BUTTON
2021-05-25 18:56:57.510484,+,BUTTON
2021-05-25 18:56:58.046175,5,BUTTON
2021-05-25 18:56:58.558842,+,BUTTON
2021-05-25 18:56:58.990627,6,BUTTON
2021-05-25 18:56:59.462240,+,BUTTON
2021-05-25 18:56:59.996028,7,BUTTON
2021-05-25 18:57:00.661468,+,BUTTON
2021-05-25 18:57:01.253206,8,BUTTON
2021-05-25 18:57:01.845505,+,BUTTON
2021-05-25 18:57:02.270039,9,BUTTON
2021-05-25 18:57:02.837967,+,BUTTON
2021-05-25 18:57:03.295010,1,BUTTON
2021-05-25 18:57:03.727067,0,BUTTON
2021-05-25 18:57:04.252605,+,BUTTON
2021-05-25 18:57:04.740476,1,BUTTON
2021-05-25 18:57:04.987715,1,BUTTON
2021-05-25 18:57:05.582164,+,BUTTON
2021-05-25 18:57:06.237416,1,BUTTON
2021-05-25 18:57:06.579411,2,BUTTON
2021-05-25 18:57:07.062151,+,BUTTON
2021-05-25 18:57:07.583948,1,BUTTON
2021-05-25 18:57:08.015929,3,BUTTON
2021-05-25 18:57:08.445086,+,BUTTON
2021-05-25 18:57:08.931765,1,BUTTON
2021-05-25 18:57:09.375565,4,BUTTON
2021-05-25 18:57:09.847422,+,BUTTON
2021-05-25 18:57:10.391190,1,BUTTON
2021-05-25 18:57:10.830976,5,BUTTON
2021-05-25 18:57:11.375348,+,BUTTON
2021-05-25 18:57:11.875558,1,BUTTON
2021-05-25 18:57:12.380061,6,BUTTON
2021-05-25 18:57:12.847895,+,BUTTON
2021-05-25 18:57:13.375739,1,BUTTON
2021-05-25 18:57:13.799151,7,BUTTON
2021-05-25 18:57:14.319210,+,BUTTON
2021-05-25 18:57:14.816202,1,BUTTON
2021-05-25 18:57:15.270946,8,BUTTON
2021-05-25 18:57:15.870656,+,BUTTON
2021-05-25 18:57:16.606811,1,BUTTON
2021-05-25 18:57:17.094608,9,BUTTON
2021-05-25 18:57:17.750567,+,BUTTON
2021-05-25 18:57:18.327570,2,BUTTON
2021-05-25 18:57:18.759645,0,BUTTON
2021-05-25 18:57:19.243426,Evaluate,BUTTON
2021-05-25 18:57:19.243426,EXPERIMENT_END,BUTTON
2021-05-25 18:57:21.070408,EXPERIMENT_START,BUTTON
2021-05-25 18:57:21.070408,1,BUTTON
2021-05-25 18:57:21.710328,+,BUTTON
2021-05-25 18:57:22.197870,2,BUTTON
2021-05-25 18:57:22.685855,+,BUTTON
2021-05-25 18:57:23.108984,3,BUTTON
2021-05-25 18:57:23.565843,+,BUTTON
2021-05-25 18:57:24.151078,4,BUTTON
2021-05-25 18:57:24.716907,+,BUTTON
2021-05-25 18:57:25.343154,5,BUTTON
2021-05-25 18:57:25.947345,+,BUTTON
2021-05-25 18:57:26.461871,6,BUTTON
2021-05-25 18:57:27.108577,+,BUTTON
2021-05-25 18:57:28.547868,7,BUTTON
2021-05-25 18:57:29.191037,+,BUTTON
2021-05-25 18:57:29.727000,8,BUTTON
2021-05-25 18:57:30.261723,+,BUTTON
2021-05-25 18:57:30.727601,9,BUTTON
2021-05-25 18:57:31.235899,+,BUTTON
2021-05-25 18:57:31.733226,1,BUTTON
2021-05-25 18:57:32.166352,0,BUTTON
2021-05-25 18:57:32.637675,+,BUTTON
2021-05-25 18:57:33.115657,2,BUTTON
2021-05-25 18:57:36.647819,Backspace,BUTTON
2021-05-25 18:57:37.876079,1,BUTTON
2021-05-25 18:57:38.099019,1,BUTTON
2021-05-25 18:57:38.920770,+,BUTTON
2021-05-25 18:57:39.810573,1,BUTTON
2021-05-25 18:57:40.210498,2,BUTTON
2021-05-25 18:57:40.695963,+,BUTTON
2021-05-25 18:57:41.145942,1,BUTTON
2021-05-25 18:57:41.586877,3,BUTTON
2021-05-25 18:57:41.986794,+,BUTTON
2021-05-25 18:57:42.792908,4,BUTTON
2021-05-25 18:57:43.650825,+,BUTTON
2021-05-25 18:57:44.170807,1,BUTTON
2021-05-25 18:57:44.595200,5,BUTTON
2021-05-25 18:57:45.179503,+,BUTTON
2021-05-25 18:57:45.714751,1,BUTTON
2021-05-25 18:57:46.179798,6,BUTTON
2021-05-25 18:57:46.698811,+,BUTTON
2021-05-25 18:57:47.169581,1,BUTTON
2021-05-25 18:57:47.579653,7,BUTTON
2021-05-25 18:57:48.081651,+,BUTTON
2021-05-25 18:57:48.578818,1,BUTTON
2021-05-25 18:57:49.211444,8,BUTTON
2021-05-25 18:57:49.746615,+,BUTTON
2021-05-25 18:57:50.266767,1,BUTTON
2021-05-25 18:57:50.818784,9,BUTTON
2021-05-25 18:57:51.474975,+,BUTTON
2021-05-25 18:57:52.011755,2,BUTTON
2021-05-25 18:57:52.466661,0,BUTTON
2021-05-25 18:57:52.967848,Evaluate,BUTTON
2021-05-25 18:57:52.967848,EXPERIMENT_END,BUTTON
